hh_ID,n_hh,n_waa,n_child,n_aged,csec,all_school,region,cropprod,landsize,mo_lowfood
776,10,5,4,1,0,0,3,23.17,6.07,6
1164,6,2,3,1,0,1,3,18.85,5.67,6
1673,6,3,4,0,0,0,5,17.31,0.4,0
1015,4,2,1,1,0,0,4,15.39,0.81,2
798,7,2,4,1,0,0,3,13.16,4.05,8
1315,4,2,1,1,0,1,1,11.8,4.05,0
1298,4,2,1,1,0,1,4,10.12,5.67,10
1680,2,2,1,0,1,0,1,10.08,2.02,0
724,3,0,1,2,0,1,3,9.95,3.24,0
335,8,3,3,2,0,0,1,9.86,0.81,4
1011,5,3,1,1,0,0,4,9.47,4.05,10
269,9,2,5,2,1,0,3,9.44,2.43,12
1085,3,1,1,1,0,0,4,9.15,2.43,0
111,13,7,3,3,0,0,1,8.82,2.02,2
1162,6,2,3,1,0,1,4,8.62,2.02,2
62,10,2,4,4,0,1,3,8.58,8.9,0
933,5,2,2,1,0,0,4,8.06,2.83,2
684,5,2,1,2,0,1,4,7.96,2.43,10
1073,3,1,1,1,0,0,4,7.9,2.83,6
1129,7,2,4,1,0,1,1,7.79,2.43,0
301,8,2,4,2,0,0,4,7.77,3.24,8
72,20,6,11,3,0,0,4,7.71,3.24,4
1623,4,2,2,0,0,1,3,7.61,4.86,0
562,7,2,3,2,0,1,4,7.58,5.26,0
1237,5,2,2,1,0,1,3,7.45,8.09,0
1701,0,1,3,0,1,0,6,7.42,2.83,0
1702,0,1,3,0,1,0,6,7.42,2.83,0
459,6,3,1,2,0,0,4,7.24,4.86,4
1358,9,3,6,0,0,0,1,6.84,2.33,2
758,9,3,5,1,0,0,4,6.68,5.67,0
1404,6,2,4,0,0,0,1,6.67,2.02,0
509,10,2,6,2,0,1,1,6.66,2.02,0
1411,7,4,3,0,1,0,4,6.64,8.09,0
1053,4,2,1,1,0,0,3,6.5,2.02,0
267,9,2,5,2,0,0,4,6.07,5.26,6
609,6,2,2,2,0,1,4,6.03,3.24,0
171,6,2,1,3,0,0,4,5.92,4.05,10
1232,5,2,2,1,0,1,1,5.91,4.05,0
678,5,2,1,2,0,1,4,5.9,3.64,2
84,10,2,5,3,0,0,4,5.83,4.86,6
